student_id,age,study_hours_per_week,attendance_pct,average_grade,assignments_count,sleep_hours_per_night,final_score,passed
STU-0000153,22,10.5,82.5,62.6,8,6.2,63.4,yes
STU-0000154,20,13.3,100,68.1,6,9.7,82.0,yes
STU-0000155,20,8.7,87.5,100,11,7.8,87.9,yes
STU-0000156,19,9.0,62.4,31.0,14,6.1,47.5,no
STU-0000157,18,4.6,63.0,49.5,14,6.5,48.6,no
STU-0000158,21,7.0,60.2,37.7,13,7.0,53.1,no
STU-0000159,21,14.2,70.8,100,11,7.0,91.7,yes
STU-0000160,18,15.0,87.0,95.2,6,7.3,81.5,yes
STU-0000161,25,22.2,86.3,92.5,4,6.3,67.9,yes
STU-0000162,17,4.1,77.6,100,4,7.4,73.3,yes
STU-0000163,26,1.0,53.6,39.1,13,5.8,42.0,no
STU-0000164,18,15.6,74.6,100,5,6.6,75.8,yes
STU-0000165,18,1.0,59.2,79.2,8,8.5,65.2,yes
STU-0000166,23,12.1,61.9,56.3,13,7.5,56.7,no
STU-0000167,18,4.6,82.0,57.7,11,7.5,75.0,yes
STU-0000168,25,9.7,83.4,53.5,4,5.6,49.7,no
STU-0000169,23,7.5,75.6,54.8,9,7.7,63.6,yes
STU-0000170,20,12.8,56.4,70.6,7,5.5,53.6,no
STU-0000171,22,11.3,67.5,51.8,5,6.7,51.3,no
STU-0000172,18,11.5,92.5,98.2,6,8.0,91.6,yes
STU-0000173,20,6.1,71.9,63.8,3,8.5,73.9,yes
STU-0000174,20,10.5,82.8,91.9,9,6.2,77.6,yes
STU-0000175,22,6.2,71.1,61.7,10,6.4,62.7,yes
STU-0000176,21,18.7,87.9,100,6,7.2,81.5,yes
STU-0000177,21,10.7,68.8,80.3,5,6.1,61.1,yes
STU-0000178,19,22.3,95.6,100,6,7.4,97.0,yes
STU-0000179,21,6.4,60.6,57.9,6,8.5,53.2,no
STU-0000180,26,6.6,71.9,62.5,7,6.4,62.6,yes
STU-0000181,17,10.8,67.1,71.1,9,7.2,63.0,yes
STU-0000182,23,4.1,83.8,86.6,11,6.5,65.1,yes
STU-0000183,24,1.0,72.8,70.1,7,6.4,62.0,yes
STU-0000184,18,8.6,100,66.2,13,6.1,69.2,yes
STU-0000185,23,16.5,61.0,100,12,6.1,79.1,yes
STU-0000186,21,17.5,78.7,77.1,7,6.4,71.4,yes
STU-0000187,25,10.0,69.8,100,5,6.8,81.1,yes
STU-0000188,19,11.9,52.5,66.4,4,6.7,54.5,no
STU-0000189,25,10.8,65.2,99.8,13,6.7,73.0,yes
STU-0000190,23,10.2,82.0,95.7,8,7.1,43.3,no
STU-0000191,20,6.2,70.5,20.3,5,8.8,44.7,no
STU-0000192,18,11.4,91.8,97.4,9,7.7,86.0,yes
STU-0000193,19,12.4,100,100,9,7.7,93.9,yes
STU-0000194,20,6.2,84.1,79.9,4,8.8,79.9,yes
STU-0000195,18,1.8,76.0,65.9,4,7.7,62.8,yes
STU-0000196,21,5.6,74.6,90.0,6,5.8,71.2,yes
STU-0000197,17,13.8,72.0,88.0,11,7.3,79.6,yes
STU-0000198,24,4.7,56.3,63.6,3,6.3,47.0,no
STU-0000199,24,14.1,70.6,66.9,12,7.1,66.8,yes
STU-0000200,19,3.2,53.6,42.8,9,5.9,22.4,no
STU-0000201,21,10.5,73.8,56.6,14,8.6,66.8,yes
STU-0000202,25,11.8,85.4,93.5,10,7.4,69.1,yes
STU-0000203,18,10.5,94.8,88.2,3,7.5,68.6,yes
STU-0000204,21,9.3,89.1,94.3,4,7.9,84.6,yes
STU-0000205,18,19.3,100,100,7,7.8,90.2,yes
STU-0000206,26,9.8,46.9,70.9,6,5.5,55.3,no
STU-0000207,23,25.1,62.3,77.7,9,7.2,86.1,yes
STU-0000208,19,10.4,78.5,95.8,5,5.6,78.2,yes
STU-0000209,26,1.6,60.0,91.7,8,6.7,64.1,yes
STU-0000210,23,9.2,69.1,83.5,7,6.9,65.5,yes
STU-0000211,21,25.9,92.6,100,8,7.6,100,yes
STU-0000212,22,12.4,82.5,90.0,3,7.7,75.3,yes
STU-0000213,19,9.1,80.7,76.0,4,5.4,78.2,yes
STU-0000214,18,10.5,78.9,96.2,5,6.6,72.4,yes
STU-0000215,20,6.5,76.5,65.4,9,5.1,52.5,no
STU-0000216,25,5.1,60.8,54.2,6,5.8,47.3,no
STU-0000217,18,22.8,100,100,6,7.6,96.4,yes
STU-0000218,21,7.4,77.2,100,12,6.5,76.5,yes
STU-0000219,25,9.7,79.5,71.4,11,8.1,75.8,yes
STU-0000220,21,20.8,87.6,100,11,8.2,89.7,yes
STU-0000221,17,23.5,85.6,100,10,9.1,96.5,yes
STU-0000222,22,18.8,92.0,93.2,14,4.8,78.5,yes
STU-0000223,20,10.8,71.1,100,5,7.6,91.9,yes
STU-0000224,21,19.2,78.3,80.1,8,7.1,83.0,yes
STU-0000225,17,5.0,80.7,82.3,10,6.6,54.7,no
STU-0000226,18,13.4,75.7,92.9,4,8.5,76.7,yes
STU-0000227,20,8.8,63.7,63.5,9,5.6,55.9,no
STU-0000228,26,18.1,90.8,100,13,7.1,96.4,yes
STU-0000229,25,2.3,66.6,66.5,7,7.9,62.2,yes
STU-0000230,19,9.0,67.1,93.5,12,8.1,74.7,yes
STU-0000231,19,17.4,100,97.7,11,6.6,95.5,yes
STU-0000232,17,9.9,67.8,76.2,13,7.1,64.9,yes
STU-0000233,19,5.9,82.8,88.1,9,6.9,76.7,yes
STU-0000234,22,13.0,98.0,87.8,5,8.0,82.9,yes
STU-0000235,18,24.4,100,100,3,7.0,86.9,yes
STU-0000236,18,14.9,81.9,70.3,12,7.5,63.2,yes
STU-0000237,24,10.3,66.0,86.9,11,5.8,70.8,yes
STU-0000238,21,20.9,82.7,100,10,7.2,88.7,yes
STU-0000239,26,6.5,65.9,92.0,7,6.2,55.7,no
STU-0000240,18,2.2,63.0,36.0,13,7.3,40.2,no
STU-0000241,25,7.1,77.6,68.6,10,7.1,80.8,yes
STU-0000242,21,4.0,63.6,80.5,8,6.0,71.6,yes
STU-0000243,25,20.3,100,100,12,8.2,91.1,yes
STU-0000244,18,1.0,35,68.7,14,5.3,36.4,no
STU-0000245,18,18.8,73.7,93.7,5,6.3,83.3,yes
STU-0000246,23,8.4,68.9,80.2,13,7.1,64.3,yes
STU-0000247,21,24.0,90.0,100,6,7.0,93.1,yes
STU-0000248,21,17.6,92.5,71.1,6,8.0,78.6,yes
STU-0000249,18,10.3,89.7,81.1,3,5.0,43.3,no
STU-0000250,19,11.4,57.7,39.4,7,6.8,59.1,no
STU-0000251,21,9.8,63.7,74.2,9,6.3,64.6,yes
STU-0000252,26,1.8,70.8,49.6,3,6.4,40.6,no
STU-0000253,22,8.4,84.6,69.1,4,6.8,58.9,no
STU-0000254,20,16.5,75.7,84.4,6,6.3,74.2,yes
STU-0000255,19,4.2,74.6,38.0,14,7.9,56.4,no
STU-0000256,21,10.0,84.7,79.9,5,7.5,77.9,yes
STU-0000257,25,3.6,46.3,65.7,7,5.9,52.3,no
STU-0000258,24,9.9,82.7,85.2,12,7.5,77.5,yes
STU-0000259,24,19.2,98.2,100,9,7.7,82.3,yes
STU-0000260,19,12.9,83.2,82.4,12,7.5,70.3,yes
STU-0000261,24,8.9,71.6,67.6,5,7.2,65.0,yes
STU-0000262,19,11.7,56.2,79.2,13,7.8,66.9,yes
STU-0000263,20,2.8,51.8,42.8,6,7.8,42.8,no
STU-0000264,23,10.3,90.3,100,11,7.6,88.4,yes
STU-0000265,23,12.9,61.9,52.0,9,6.7,64.4,yes
STU-0000266,20,2.2,45.8,57.8,11,6.5,47.5,no
STU-0000267,21,1.0,80.0,60.9,8,8.4,60.7,yes
STU-0000268,21,9.9,88.1,100,7,6.9,74.9,yes
STU-0000269,21,12.8,70.1,82.9,14,6.5,74.8,yes
STU-0000270,18,1.0,73.9,89.9,7,6.9,73.8,yes
STU-0000271,19,21.5,98.5,100,5,7.1,92.9,yes
STU-0000272,19,12.8,70.9,68.2,14,6.7,74.8,yes
STU-0000273,18,18.2,64.6,69.3,10,6.3,57.6,no
STU-0000274,20,10.5,83.9,90.3,5,7.3,83.5,yes
STU-0000275,17,14.2,85.5,100,8,6.1,83.7,yes
STU-0000276,22,1.0,69.1,76.9,5,6.3,65.2,yes
STU-0000277,21,1.0,81.2,44.4,13,6.8,45.4,no
STU-0000278,19,4.5,65.3,87.6,8,5.8,73.6,yes
STU-0000279,22,7.9,69.8,91.7,13,7.6,85.8,yes
STU-0000280,19,7.7,58.7,60.3,4,7.8,62.7,yes
STU-0000281,17,11.4,100,100,4,6.7,94.0,yes
STU-0000282,18,5.7,62.4,73.4,10,7.4,59.8,no
STU-0000283,24,1.0,64.9,88.9,11,6.4,65.2,yes
STU-0000284,23,3.5,60.9,37.1,4,9.3,53.4,no
STU-0000285,17,14.6,87.7,100,5,8.2,83.4,yes
STU-0000286,19,1.0,79.6,68.7,5,5.7,65.6,yes
STU-0000287,18,6.8,58.6,41.6,12,8.2,60.5,yes
STU-0000288,17,5.8,66.1,64.9,7,7.6,55.7,no
STU-0000289,26,9.9,90.8,78.5,9,6.9,69.6,yes
STU-0000290,20,4.8,72.3,55.6,14,6.4,54.8,no
STU-0000291,18,25.6,100,100,10,7.8,93.0,yes
STU-0000292,21,12.2,89.4,84.9,4,5.8,73.4,yes
STU-0000293,19,10.4,75.7,38.1,5,7.9,50.3,no
STU-0000294,19,1.0,67.1,71.1,6,7.6,63.7,yes
STU-0000295,23,16.0,72.4,80.9,13,6.7,68.5,yes
STU-0000296,21,1.0,78.2,79.1,5,6.3,62.3,yes
STU-0000297,19,22.0,76.4,92.8,5,9.3,80.0,yes
STU-0000298,21,15.0,71.7,77.6,13,6.4,71.6,yes
STU-0000299,18,2.5,74.4,65.0,14,7.3,68.0,yes
STU-0000300,24,12.4,77.2,62.9,11,6.9,60.7,yes
STU-0000301,22,10.7,80.7,89.7,9,7.5,86.1,yes
STU-0000302,22,23.3,97.5,100,14,8.2,85.1,yes
STU-0000303,21,9.5,84.1,100,5,7.3,75.3,yes
STU-0000304,19,8.8,74.7,60.5,5,6.5,50.7,no
STU-0000305,25,2.9,77.8,69.9,3,5.1,50.3,no
STU-0000306,21,16.3,82.1,100,14,8.2,87.2,yes
STU-0000307,25,6.0,77.9,98.4,4,6.8,76.9,yes
STU-0000308,20,10.0,80.8,100,8,6.1,77.9,yes
STU-0000309,19,1.0,63.5,48.2,8,7.3,48.4,no
STU-0000310,18,12.6,72.5,100,12,8.2,80.2,yes
STU-0000311,18,11.5,91.4,100,12,6.5,82.4,yes
STU-0000312,23,21.8,86.7,100,12,5.1,80.5,yes
STU-0000313,20,17.1,75.0,100,11,6.3,52.6,no
STU-0000314,20,7.7,73.6,60.2,7,6.5,53.2,no
STU-0000315,20,14.9,86.0,94.2,4,6.5,93.0,yes
STU-0000316,20,17.6,100,89.5,8,7.5,84.1,yes
STU-0000317,21,3.0,76.7,82.8,8,7.7,66.4,yes
STU-0000318,26,2.9,73.9,100,7,6.7,62.5,yes
STU-0000319,24,9.4,75.2,73.0,8,6.3,62.3,yes
STU-0000320,17,2.9,64.5,83.0,8,5.9,72.7,yes
STU-0000321,23,15.0,80.8,80.2,9,7.5,76.1,yes
STU-0000322,23,19.2,84.0,100,5,7.3,97.8,yes
STU-0000323,23,1.0,67.0,77.6,14,6.2,52.8,no
STU-0000324,18,11.9,71.8,98.2,9,6.8,67.9,yes
STU-0000325,17,17.2,89.5,100,3,6.3,89.4,yes
STU-0000326,20,5.3,84.6,100,4,7.1,74.3,yes
STU-0000327,24,1.0,43.1,43.2,5,5.2,37.5,no
STU-0000328,20,17.3,91.7,100,3,7.0,67.6,yes
STU-0000329,25,16.7,92.1,77.1,9,6.2,74.7,yes
STU-0000330,26,12.0,81.4,100,6,7.3,90.7,yes
STU-0000331,18,11.6,75.5,77.6,3,7.6,74.9,yes
STU-0000332,19,2.8,64.4,74.0,12,6.7,59.0,no
STU-0000333,19,20.4,89.7,100,8,6.1,89.2,yes
STU-0000334,19,16.1,83.8,100,14,6.7,90.2,yes
STU-0000335,21,1.0,61.0,77.1,7,7.5,69.0,yes
STU-0000336,21,10.9,71.2,58.5,6,5.9,53.7,no
STU-0000337,18,10.8,61.4,61.5,3,6.0,56.3,no
STU-0000338,20,14.8,88.0,100,4,7.2,73.5,yes
STU-0000339,18,5.8,73.6,91.3,7,7.8,62.7,yes
STU-0000340,19,5.4,77.0,79.0,14,7.7,76.2,yes
STU-0000341,21,5.9,77.8,83.3,8,7.7,73.4,yes
STU-0000342,19,13.6,87.3,97.3,3,8.6,86.2,yes
STU-0000343,26,29.1,89.5,100,14,6.9,98.2,yes
STU-0000344,18,17.5,76.1,99.4,12,8.5,77.7,yes
STU-0000345,21,6.4,73.2,54.5,7,6.2,57.5,no
STU-0000346,25,8.9,90.0,94.3,3,8.8,91.4,yes
STU-0000347,26,1.0,54.2,33.2,11,7.1,39.9,no
STU-0000348,26,7.6,69.0,57.5,12,8.0,73.1,yes
STU-0000349,21,14.9,81.1,58.5,3,7.8,62.9,yes
STU-0000350,18,1.0,59.0,31.8,14,6.7,36.9,no
STU-0000351,17,8.0,79.8,71.5,7,5.7,53.9,no
STU-0000352,23,12.2,87.0,100,10,8.2,99.2,yes
STU-0000353,21,10.1,72.3,100,9,5.7,78.6,yes
STU-0000354,26,9.8,80.9,79.4,10,7.5,80.0,yes
STU-0000355,17,12.2,77.6,82.4,3,7.2,80.6,yes
STU-0000356,18,17.2,85.3,100,9,8.3,88.9,yes
STU-0000357,25,1.0,58.9,55.9,11,7.1,48.3,no
STU-0000358,26,8.5,69.7,69.6,3,7.7,69.6,yes
STU-0000359,19,1.0,67.6,62.6,5,6.1,62.9,yes
STU-0000360,18,5.7,60.0,56.2,10,7.1,59.5,no
STU-0000361,20,27.0,82.1,100,10,6.0,78.2,yes
STU-0000362,21,14.8,92.6,94.1,14,7.0,82.2,yes
STU-0000363,21,15.7,95.3,72.1,13,8.4,78.6,yes
STU-0000364,19,6.3,83.3,100,4,8.2,80.0,yes
STU-0000365,26,13.6,73.3,74.2,6,7.8,76.8,yes
STU-0000366,20,3.7,87.6,100,11,7.7,82.9,yes
STU-0000367,17,10.2,63.3,88.8,3,8.1,77.6,yes
STU-0000368,18,10.5,80.2,88.3,3,6.5,69.0,yes
STU-0000369,20,10.4,66.1,78.5,6,5.7,65.7,yes
STU-0000370,17,1.0,62.9,42.6,11,7.2,51.4,no
STU-0000371,20,11.1,76.8,79.2,7,7.2,57.0,no
STU-0000372,19,1.7,80.7,66.8,9,6.7,60.9,yes
STU-0000373,25,1.0,68.5,35.0,12,7.2,40.4,no
STU-0000374,25,6.7,93.1,86.1,7,7.1,77.2,yes
STU-0000375,21,13.0,69.9,90.0,8,6.3,75.6,yes
STU-0000376,19,5.0,91.5,78.4,3,7.0,78.4,yes
STU-0000377,20,1.0,45.1,54.8,7,6.8,43.9,no
STU-0000378,24,10.4,91.4,100,4,7.1,82.9,yes
STU-0000379,24,10.0,69.4,100,3,6.4,80.2,yes
STU-0000380,25,24.0,100,100,6,7.1,93.1,yes
STU-0000381,21,10.8,77.5,71.3,11,6.9,68.7,yes
STU-0000382,23,6.7,72.1,72.9,4,6.5,71.0,yes
STU-0000383,24,12.7,64.9,48.2,5,7.5,50.4,no
STU-0000384,21,4.3,70.3,81.5,4,7.1,75.8,yes
STU-0000385,18,19.5,87.0,99.7,6,8.8,98.3,yes
STU-0000386,19,13.6,89.8,100,10,7.6,85.2,yes
STU-0000387,19,3.9,77.6,98.5,11,6.8,73.9,yes
STU-0000388,19,1.0,55.6,51.3,14,5.4,40.0,no
STU-0000389,17,18.6,94.3,100,12,8.6,98.8,yes
STU-0000390,22,19.2,82.1,76.5,9,6.8,71.3,yes
STU-0000391,24,2.8,90.2,100,4,6.5,100,yes
STU-0000392,21,15.4,87.7,100,9,6.8,89.0,yes
STU-0000393,17,3.4,54.5,20,9,6.7,17.5,no
STU-0000394,24,4.0,76.1,100,9,6.0,68.7,yes
STU-0000395,20,8.2,97.8,100,7,7.2,84.4,yes
STU-0000396,17,18.1,85.3,85.3,7,8.6,88.1,yes
STU-0000397,17,15.1,73.1,100,3,7.5,78.6,yes
STU-0000398,22,7.4,82.1,84.0,7,6.9,73.5,yes
STU-0000399,21,1.0,57.5,38.2,11,7.0,51.4,no
STU-0000400,21,22.0,93.7,100,11,7.2,100,yes
STU-0000401,26,4.9,71.2,77.5,13,8.0,62.4,yes
STU-0000402,21,18.8,90.9,100,11,9.2,97.5,yes
STU-0000403,18,9.0,85.8,100,9,7.2,82.2,yes
STU-0000404,17,10.8,94.2,100,13,7.6,64.9,yes
STU-0000405,21,18.8,82.3,81.8,3,7.6,77.0,yes
STU-0000406,18,1.6,66.1,50.2,5,6.7,53.0,no
STU-0000407,26,20.5,100,100,8,7.1,96.1,yes
STU-0000408,18,29.5,100,100,13,8.4,100,yes
STU-0000409,18,10.4,74.9,79.7,10,7.1,70.7,yes
STU-0000410,22,1.0,75.1,87.4,4,8.9,69.0,yes
STU-0000411,18,1.0,64.3,29.0,13,7.3,47.3,no
STU-0000412,23,16.5,88.1,100,13,7.7,91.6,yes
STU-0000413,26,5.2,54.3,83.9,10,6.8,60.9,yes
STU-0000414,19,16.7,99.5,100,6,8.5,88.2,yes
STU-0000415,20,15.9,77.1,88.8,7,7.6,81.2,yes
STU-0000416,18,22.9,100,100,14,6.4,89.3,yes
STU-0000417,22,8.7,70.6,88.9,5,7.3,71.2,yes
STU-0000418,19,1.7,69.7,58.3,3,5.4,41.5,no
STU-0000419,22,13.5,98.9,100,3,6.1,82.9,yes
STU-0000420,22,16.8,100,100,11,7.3,92.2,yes
